#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,       10, 0.0603634244027048,                5.0,                  5.0
             6.0,       10, 0.04802875246151295,                5.0,                  5.0
             4.0,        5, 0.047589105291488916,                5.0,                  5.0
             5.0,        5, 0.058538463915515364,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.060968341743915556,                5.0,                  5.0
             2.0,        6, 0.06165141947490432,                5.0,                  5.0
             3.0,        9, 0.13349374495721436,                5.0,                  5.0
             2.0,        5, 0.14026826465238343,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.05477282734185091,                5.0,                  5.0
             3.0,        9, 0.04704093810095587,                5.0,                  5.0
             6.0,        5, 0.06536934622663768,                5.0,                  5.0
             6.0,        6, 0.10917807299793812,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.06289009661580212,                5.0,                  5.0
             4.0,        9, 0.05194400177484518,                5.0,                  5.0
             3.0,        8, 0.13963252958401864,                5.0,                  5.0
             6.0,        3, 0.05689682223222944,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.06289009661580212,                5.0,                  5.0
             5.0,        9, 0.051588323280367505,                5.0,                  5.0
             7.0,        9, 0.08386579658175483,                5.0,                  5.0
             4.0,        2, 0.08151645777052434,                5.0,                  5.0
             3.0,       10, 0.06289009661580212,                5.0,                  5.0
             4.0,        9, 0.05194400177484518,                5.0,                  5.0
             8.0,       10, 0.1651108487295073,                5.0,                  5.0
             8.0,        1, 0.0726774863699917,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.05994896634038297,                5.0,                  5.0
             4.0,        9, 0.05194400177484518,                5.0,                  5.0
             2.0,        8, 0.06944164459936665,                5.0,                  5.0
