#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        9, 0.07203634201342139,                5.0,                  5.0
             6.0,       10, 0.0584164753443359,                5.0,                  5.0
             4.0,        9, 0.06911899880623973,                5.0,                  5.0
             5.0,        2, 0.05311137469402975,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,       10, 0.07548711182798919,                5.0,                  5.0
             2.0,        5, 0.05049213257282208,                5.0,                  5.0
             3.0,       10, 0.08048155244947966,                5.0,                  5.0
             2.0,        5, 0.10479253286769297,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        9, 0.06334757587361987,                5.0,                  5.0
             3.0,       10, 0.10167982092140877,                5.0,                  5.0
             6.0,        6, 0.10592088205933277,                5.0,                  5.0
             6.0,        5, 0.11947265659146765,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.06567867803684033,                5.0,                  5.0
             4.0,       10, 0.058822528880706035,                5.0,                  5.0
             3.0,        6, 0.05329072580100824,                5.0,                  5.0
             6.0,        5, 0.11947265659146765,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.06567867803684033,                5.0,                  5.0
             5.0,       10, 0.07576489287906699,                5.0,                  5.0
             7.0,        5, 0.04757377239661769,                5.0,                  5.0
             4.0,        6, 0.09717033238575905,                5.0,                  5.0
             3.0,        9, 0.06567867803684033,                5.0,                  5.0
             4.0,       10, 0.058822528880706035,                5.0,                  5.0
             8.0,        7, 0.04951784001163596,                5.0,                  5.0
             8.0,        4, 0.172759870539228,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.057051770631012175,                5.0,                  5.0
             4.0,        9, 0.05542654800643439,                5.0,                  5.0
             2.0,        6, 0.07454503225048474,                5.0,                  5.0
             6.0,        5, 0.11947265659146765,                5.0,                  5.0
             5.0,        9, 0.07203634201342139,                5.0,                  5.0
             4.0,       10, 0.058822528880706035,                5.0,                  5.0
             3.0,        6, 0.05329072580100824,                5.0,                  5.0
             4.0,        5, 0.11809852094659992,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        9, 0.07203634201342139,                5.0,                  5.0
             6.0,       10, 0.0584164753443359,                5.0,                  5.0
             4.0,        9, 0.06911899880623973,                5.0,                  5.0
             5.0,        2, 0.05311137469402975,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
