#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,       10, 0.12019062569619916,                5.0,                  5.0
             6.0,        9, 0.13056801359307993,                5.0,                  5.0
             4.0,        6, 0.09493480748321599,                5.0,                  5.0
             5.0,        5, 0.2240045341391801,  4.868545493072215,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        9, 0.08120022230302025,                5.0,                  5.0
             2.0,       10, 0.10662310166242173,                5.0,                  5.0
             3.0,        9, 0.1788850535784216,                5.0,                  5.0
             2.0,        2, 0.10732709051766373,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.11985053430344075,                5.0,                  5.0
             3.0,        6, 0.12449749903881344,                5.0,                  5.0
             6.0,       10, 0.1263521195539309,                5.0,                  5.0
             6.0,        4, 0.15884599344733455,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.1344280120104454,                5.0,                  5.0
             4.0,        9, 0.14243954390214036,                5.0,                  5.0
             3.0,        9, 0.1788850535784216,                5.0,                  5.0
             6.0,        2, 0.08566691812579186,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,       10, 0.1344280120104454,                5.0,                  5.0
             5.0,        9, 0.12836474731293263,                5.0,                  5.0
             7.0,        4, 0.15082461182439713,                5.0,                  5.0
             4.0,        7, 0.2908711573574221,  3.868545493072215,                  5.0
             3.0,       10, 0.1344280120104454,                5.0,                  5.0
             4.0,        9, 0.14243954390214036,                5.0,                  5.0
             8.0,       10, 0.249636148250505,  4.751775555552621,                  5.0
             8.0,        1, 0.08201598153956681,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.18824791697157492,                5.0,                  5.0
             4.0,        9, 0.14243954390214036,                5.0,                  5.0
             2.0,       10, 0.11799783595986572,                5.0,                  5.0
             6.0,        1, 0.07085412389406381,                5.0,                  5.0
             5.0,       10, 0.12019062569619916,                5.0,                  5.0
             4.0,        9, 0.14243954390214036,                5.0,                  5.0
             3.0,        9, 0.1788850535784216,                5.0,                  5.0
             4.0,        2, 0.08258027484156094,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
