#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             5.0,        6, 0.1884888376283802,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        9, 0.07239346117986675,                5.0,                  5.0
             2.0,       10, 0.05146867997980358,                5.0,                  5.0
             3.0,        3, 0.057593286690587664,                5.0,                  5.0
             2.0,        8, 0.13067624596640634,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        7, 0.07121365090641185,                5.0,                  5.0
             3.0,        7, 0.1201687100794965,                5.0,                  5.0
             6.0,        1, 0.2146540647834155,  4.751775555552621,                  5.0
             6.0,        8, 0.18717232040814302,                5.0,                  5.0
             2.0,        7, 0.14426856937099516, 3.0584057399119535,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             4.0,        7, 0.12468888864762778,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             6.0,        6, 0.1904232409677518,                5.0,                  5.0
             5.0,        7, 0.1547842489064203, 2.0584057399119535,                  5.0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             7.0,       10, 0.10442554213768955,                5.0,                  5.0
             4.0,        6, 0.176487860645578,                5.0,                  5.0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             4.0,        7, 0.12468888864762778,                5.0,                  5.0
             8.0,       10, 0.17913336293701682,                5.0,                  5.0
             8.0,        6, 0.19958521891393952,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        9, 0.07046978118056318,                5.0,                  5.0
             4.0,        5, 0.05881766154589697,                5.0,                  5.0
             2.0,        2, 0.09180259657056507,                5.0,                  5.0
             6.0,        3, 0.1092420896155999,                5.0,                  5.0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             4.0,        7, 0.12468888864762778,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             4.0,        6, 0.12681791819036772,                5.0,                  5.0
             5.0,        7, 0.1547842489064203, 2.0584057399119535,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             5.0,        6, 0.1884888376283802,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             2.0,        2, 0.09180259657056507,                5.0,                  5.0
             5.0,        8, 0.16431072383107215,                5.0,                  5.0
             6.0,        6, 0.22838783195532314, 1.0584057399119535,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             4.0,        7, 0.082073622207875,                5.0,                  5.0
             3.0,        7, 0.1201687100794965,                5.0,                  5.0
             6.0,        1, 0.2146540647834155,  4.751775555552621,                  5.0
             5.0,       10, 0.11054414207771499,                5.0,                  5.0
             3.0,        5, 0.19587460387436037, 2.0584057399119535,                  5.0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             7.0,        9, 0.07351844597703064,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             4.0,        7, 0.12468888864762778,                5.0,                  5.0
             8.0,       10, 0.17913336293701682,                5.0,                  5.0
             8.0,        6, 0.19958521891393952,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        9, 0.07239346117986675,                5.0,                  5.0
             7.0,       10, 0.08114703641465167,                5.0,                  5.0
             4.0,        5, 0.08259441001956348,                5.0,                  5.0
             2.0,        6, 0.12293867885969038,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        7, 0.082073622207875,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             4.0,        6, 0.12681791819036772,                5.0,                  5.0
             5.0,        7, 0.1547842489064203, 2.0584057399119535,                  5.0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             5.0,        6, 0.1884888376283802,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             3.0,        7, 0.1201687100794965,                5.0,                  5.0
             2.0,        2, 0.09180259657056507,                5.0,                  5.0
             5.0,        8, 0.16431072383107215,                5.0,                  5.0
             2.0,        6, 0.18645169197688463, 2.0584057399119535,                  5.0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             4.0,        6, 0.12681791819036772,                5.0,                  5.0
             3.0,        7, 0.21244131913573844, 1.0584057399119535,                  5.0
             6.0,        7, 0.07121365090641185,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             7.0,        9, 0.07351844597703064,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             4.0,        7, 0.12468888864762778,                5.0,                  5.0
             8.0,       10, 0.17913336293701682,                5.0,                  5.0
             8.0,        9, 0.07239346117986675,                5.0,                  5.0
             6.0,       10, 0.0686505894505998,                5.0,                  5.0
             8.0,        5, 0.17825593924694316,                5.0,                  5.0
             7.0,        6, 0.22715197515406674,  4.868545493072215,                  5.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,        7, 0.082073622207875,                5.0,                  5.0
             3.0,        7, 0.1201687100794965,                5.0,                  5.0
             4.0,        8, 0.18320183286768402,                5.0,                  5.0
             5.0,        8, 0.3073227805960565,  2.868545493072215,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             5.0,        6, 0.1884888376283802,                5.0,                  5.0
             8.0,        9, 0.07239346117986675,                5.0,                  5.0
             8.0,       10, 0.1337830520848309,                5.0,                  5.0
             2.0,        7, 0.258211167666425, 3.7517755555526207,                  5.0
             3.0,        4, 0.1013498977772479,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             6.0,        1, 0.2146540647834155,  4.751775555552621,                  5.0
             3.0,        4, 0.13659510678207887,                5.0,                  5.0
             6.0,       10, 0.2801026558036095, 0.058405739911953525,   4.9430281204115385
             6.0,        1, 0.06869701089401849,                5.0,                  5.0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             4.0,        6, 0.12681791819036772,                5.0,                  5.0
             3.0,        7, 0.21244131913573844, 1.0584057399119535,                  5.0
             6.0,        7, 0.07121365090641185,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             5.0,        9, 0.18238876979202578,                5.0,                  5.0
             7.0,        4, 0.14960015660803153, 3.0584057399119535,                  5.0
             4.0,        0,         -1,                  0,                    0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             4.0,        7, 0.12468888864762778,                5.0,                  5.0
             8.0,       10, 0.17913336293701682,                5.0,                  5.0
             8.0,        6, 0.19958521891393952,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             5.0,        8, 0.09809575071258005,                5.0,                  5.0
             4.0,        6, 0.176487860645578,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             4.0,        7, 0.12468888864762778,                5.0,                  5.0
             5.0,       10, 0.19570445459287542,                5.0,                  5.0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             5.0,        6, 0.1884888376283802,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             2.0,        9, 0.17500003925302,                5.0,                  5.0
             5.0,        8, 0.09809575071258005,                5.0,                  5.0
             2.0,        6, 0.12293867885969038,                5.0,                  5.0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             3.0,        8, 0.0678584853964884,                5.0,                  5.0
             6.0,        6, 0.1813303896406435,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             3.0,        7, 0.1201687100794965,                5.0,                  5.0
             4.0,        8, 0.18320183286768402,                5.0,                  5.0
             3.0,        8, 0.17391575078888802,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             3.0,        7, 0.1201687100794965,                5.0,                  5.0
             5.0,       10, 0.19570445459287542,                5.0,                  5.0
             7.0,        9, 0.07046978118056318,                5.0,                  5.0
             4.0,        5, 0.05881766154589697,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             4.0,        6, 0.12681791819036772,                5.0,                  5.0
             8.0,        7, 0.2266988604558695, 1.0584057399119535,                  5.0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             5.0,        8, 0.09809575071258005,                5.0,                  5.0
             4.0,        6, 0.176487860645578,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             3.0,        7, 0.1201687100794965,                5.0,                  5.0
             4.0,        8, 0.18320183286768402,                5.0,                  5.0
             5.0,        8, 0.3073227805960565,  2.868545493072215,                  5.0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             4.0,        8, 0.10044747490681659,                5.0,                  5.0
             5.0,        6, 0.1884888376283802,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        7, 0.12678141403924378,                5.0,                  5.0
             2.0,        9, 0.17500003925302,                5.0,                  5.0
             5.0,        8, 0.09809575071258005,                5.0,                  5.0
             6.0,        6, 0.1813303896406435,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             3.0,        3, 0.2237975138095676,  4.751775555552621,                  5.0
             4.0,        6, 0.12681791819036772,                5.0,                  5.0
             3.0,        7, 0.21244131913573844, 1.0584057399119535,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        7, 0.09731650684158838,                5.0,                  5.0
             5.0,        7, 0.11825415377246289,                5.0,                  5.0
             7.0,       10, 0.10442554213768955,                5.0,                  5.0
             4.0,        6, 0.176487860645578,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             8.0,        9, 0.07239346117986675,                5.0,                  5.0
             8.0,       10, 0.1337830520848309,                5.0,                  5.0
             6.0,        9, 0.16307526345936052,                5.0,                  5.0
             8.0,        9, 0.07239346117986675,                5.0,                  5.0
             7.0,       10, 0.08114703641465167,                5.0,                  5.0
             4.0,        5, 0.08259441001956348,                5.0,                  5.0
             2.0,        7, 0.0523684052995208,                5.0,                  5.0
             6.0,        9, 0.098175267114981,                5.0,                  5.0
             5.0,        8, 0.09809575071258005,                5.0,                  5.0
             4.0,        6, 0.176487860645578,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
