#InitialSeverity, Response, Confidence, PressEvent_seconds, ReleaseEvent_seconds
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             2.0,        8, 0.06511935212953272,                5.0,                  5.0
             3.0,       10, 0.06348040522761002,                5.0,                  5.0
             2.0,        3, 0.0576539812205846,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.061948850767171694,                5.0,                  5.0
             3.0,       10, 0.06415551653248407,                5.0,                  5.0
             6.0,        8, 0.07763953561061802,                5.0,                  5.0
             6.0,        2, 0.0935822412595007,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             3.0,       10, 0.06348040522761002,                5.0,                  5.0
             6.0,        3, 0.12202142914670372,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             5.0,        6, 0.0888747367679832,                5.0,                  5.0
             7.0,        9, 0.12490978448967323,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             8.0,        9, 0.08555638756460261,                5.0,                  5.0
             8.0,        4, 0.12413686327366139,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,       10, 0.06626879839481445,                5.0,                  5.0
             4.0,        9, 0.060781912387974715,                5.0,                  5.0
             2.0,        8, 0.061758818575963145,                5.0,                  5.0
             6.0,        3, 0.12202142914670372,                5.0,                  5.0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             3.0,       10, 0.06348040522761002,                5.0,                  5.0
             4.0,        3, 0.10053350724005497,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             5.0,        8, 0.08340882996307519,                5.0,                  5.0
             2.0,       10, 0.07391777103255927,                5.0,                  5.0
             5.0,        5, 0.0834117637023283,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             5.0,        8, 0.08340882996307519,                5.0,                  5.0
             3.0,        9, 0.07584723584433462,                5.0,                  5.0
             4.0,       10, 0.07266528626964512,                5.0,                  5.0
             3.0,       10, 0.06415551653248407,                5.0,                  5.0
             6.0,        8, 0.07763953561061802,                5.0,                  5.0
             5.0,        2, 0.0858087012836923,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             7.0,       10, 0.113679846401967,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             8.0,        9, 0.08555638756460261,                5.0,                  5.0
             8.0,        4, 0.12413686327366139,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             7.0,       10, 0.113679846401967,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             2.0,        4, 0.09365076529015087,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,       10, 0.07266528626964512,                5.0,                  5.0
             5.0,       10, 0.0549537752916404,                5.0,                  5.0
             3.0,       10, 0.05541521062423892,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             3.0,        9, 0.07115947486742147,                5.0,                  5.0
             2.0,        8, 0.05009515557911815,                5.0,                  5.0
             5.0,        6, 0.16733321754381383,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             5.0,        8, 0.08340882996307519,                5.0,                  5.0
             3.0,        9, 0.07584723584433462,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,       10, 0.061948850767171694,                5.0,                  5.0
             5.0,       10, 0.0549537752916404,                5.0,                  5.0
             3.0,       10, 0.05541521062423892,                5.0,                  5.0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             7.0,       10, 0.113679846401967,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             8.0,        9, 0.08555638756460261,                5.0,                  5.0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             8.0,        9, 0.11194630590948522,                5.0,                  5.0
             7.0,        2, 0.10621982757812883,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             4.0,       10, 0.07266528626964512,                5.0,                  5.0
             3.0,       10, 0.06415551653248407,                5.0,                  5.0
             4.0,        9, 0.045222165347870394,                5.0,                  5.0
             5.0,        1, 0.06071732385964742,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             8.0,       10, 0.09778255553881438,                5.0,                  5.0
             2.0,        8, 0.061758818575963145,                5.0,                  5.0
             3.0,        3, 0.07433265180163036,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             5.0,        8, 0.08340882996307519,                5.0,                  5.0
             6.0,        7, 0.11597724406298704,                5.0,                  5.0
             3.0,        8, 0.09827350688598517,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             5.0,        8, 0.08340882996307519,                5.0,                  5.0
             3.0,        9, 0.07584723584433462,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,       10, 0.061948850767171694,                5.0,                  5.0
             5.0,       10, 0.0549537752916404,                5.0,                  5.0
             3.0,       10, 0.05541521062423892,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             8.0,        9, 0.08555638756460261,                5.0,                  5.0
             8.0,        4, 0.12413686327366139,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             6.0,       10, 0.1117644918033078,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             2.0,        8, 0.06511935212953272,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             2.0,        6, 0.06533407603453632,                5.0,                  5.0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             3.0,        7, 0.05723849053996435,                5.0,                  5.0
             6.0,        4, 0.07443398388410218,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             3.0,       10, 0.06511204997537298,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             3.0,        4, 0.07436497610642928,                5.0,                  5.0
             6.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             3.0,       10, 0.06511204997537298,                5.0,                  5.0
             5.0,        8, 0.06822788925566146,                5.0,                  5.0
             7.0,       10, 0.06626879839481445,                5.0,                  5.0
             4.0,        9, 0.060781912387974715,                5.0,                  5.0
             3.0,        7, 0.05723849053996435,                5.0,                  5.0
             4.0,        4, 0.13245001786224714,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             7.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             6.0,       10, 0.1117644918033078,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             3.0,       10, 0.06511204997537298,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             2.0,        8, 0.06511935212953272,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             6.0,        6, 0.24802458254297063,  4.868545493072215,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             5.0,        8, 0.08340882996307519,                5.0,                  5.0
             3.0,        9, 0.07584723584433462,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             5.0,        6, 0.0888747367679832,                5.0,                  5.0
             7.0,        9, 0.12490978448967323,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             8.0,       10, 0.09778255553881438,                5.0,                  5.0
             6.0,        8, 0.052634953219369084,                5.0,                  5.0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             7.0,       10, 0.113679846401967,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             6.0,       10, 0.1117644918033078,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             2.0,        8, 0.06511935212953272,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             6.0,       10, 0.061948850767171694,                5.0,                  5.0
             3.0,       10, 0.06415551653248407,                5.0,                  5.0
             6.0,        8, 0.07763953561061802,                5.0,                  5.0
             6.0,        2, 0.0935822412595007,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             4.0,        8, 0.07429511310098924,                5.0,                  5.0
             3.0,       10, 0.06348040522761002,                5.0,                  5.0
             6.0,        3, 0.12202142914670372,                5.0,                  5.0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             7.0,       10, 0.113679846401967,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             3.0,        4, 0.07436497610642928,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             8.0,        0,         -1,                  0,                    0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             8.0,        9, 0.11194630590948522,                5.0,                  5.0
             7.0,        2, 0.10621982757812883,                5.0,                  5.0
             4.0,        0,         -1,                  0,                    0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             6.0,       10, 0.1117644918033078,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             3.0,       10, 0.06511204997537298,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             5.0,        9, 0.057265046793511645,                5.0,                  5.0
             6.0,       10, 0.0496850401978079,                5.0,                  5.0
             4.0,        7, 0.07123389352577826,                5.0,                  5.0
             5.0,        4, 0.0776476081489738,                5.0,                  5.0
             8.0,        9, 0.07400098847108126,                5.0,                  5.0
             8.0,       10, 0.09778255553881438,                5.0,                  5.0
             2.0,        8, 0.061758818575963145,                5.0,                  5.0
             3.0,        3, 0.07433265180163036,                5.0,                  5.0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             2.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             6.0,       10, 0.061948850767171694,                5.0,                  5.0
             3.0,       10, 0.06415551653248407,                5.0,                  5.0
             6.0,        8, 0.07763953561061802,                5.0,                  5.0
             6.0,        2, 0.0935822412595007,                5.0,                  5.0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             5.0,        8, 0.08340882996307519,                5.0,                  5.0
             3.0,        9, 0.07584723584433462,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             6.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        9, 0.0608757411677881,                5.0,                  5.0
             5.0,        6, 0.0888747367679832,                5.0,                  5.0
             7.0,        9, 0.12490978448967323,                5.0,                  5.0
             4.0,       10, 0.07266528626964512,                5.0,                  5.0
             3.0,       10, 0.06415551653248407,                5.0,                  5.0
             4.0,        9, 0.045222165347870394,                5.0,                  5.0
             8.0,        1, 0.06659631910378146,                5.0,                  5.0
             8.0,        0,         -1,                  0,                    0
             6.0,       10, 0.061948850767171694,                5.0,                  5.0
             8.0,        9, 0.05685419636894401,                5.0,                  5.0
             7.0,       10, 0.0740260650051407,                5.0,                  5.0
             4.0,        1, 0.0714357701808888,                5.0,                  5.0
             2.0,        7, 0.07197300939515583,                5.0,                  5.0
             6.0,       10, 0.1117644918033078,                5.0,                  5.0
             5.0,        7, 0.07646289645413357,                5.0,                  5.0
             4.0,        6, 0.17868161820774267,                5.0,                  5.0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
             3.0,        0,         -1,                  0,                    0
             4.0,        0,         -1,                  0,                    0
             5.0,        0,         -1,                  0,                    0
